experiment_id;success;roi;winrate;total_profit;total_invested;total_bets;total_wins;avg_profit_per_bet;max_drawdown;sharpe_ratio;sortino_ratio;profit_factor;calmar_ratio;volatility;avg_bet_size;bet_frequency;max_consecutive_losses;composite_score;param_confidence_threshold;param_min_edge_required;param_max_bet_rate;param_max_bet_amount;param_use_kelly_criterion;param_kelly_fraction;param_no_bet_reward_multiplier;param_draw_penalty_multiplier;param_global_timesteps;param_learning_rate
1;True;-0.05988723500225529;0.405;-132.76999999999998;2217.0;200;81;-0.6638499999999999;220.79;-0.16042082368955887;-0.2576504544726299;0.8968376068376068;0.0;33.10542782324373;11.085;8.0;12;0.07956001441978042;0.55;0.0;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
2;True;-0.13205858940558116;0.4437869822485207;-233.91670000000002;1771.3100000000004;169;75;-1.3841224852071008;195.25670000000002;-0.3643155004390162;-0.6729016445527545;0.7364742451154529;0.0;25.68287099704735;10.481124260355031;6.76;12;0.04332933609529355;0.6;0.02;0.4;20;True;0.25;0.5;1.5;1000000;0.0001
3;True;-0.0782265774378585;0.39106145251396646;-163.65;2092.0;179;70;-0.9142458100558659;146.10000000000002;-0.16801825999329972;-0.28269542315902063;0.8650865622423742;0.0;38.9600511293299;11.687150837988828;7.16;14;0.06957901434673991;0.6;0.05;0.4;30;False;0.25;0.5;1.5;1000000;0.0001
4;True;-0.07354776589949985;0.42857142857142855;-133.67379999999997;1817.51;175;75;-0.7638502857142856;328.5868;-0.1342990212185074;-0.2510311240033099;0.8256832027850305;0.0;39.81378234544535;10.385771428571429;7.0;14;0.07998114426906117;0.55;0.05;0.3;20;True;0.25;0.5;1.5;1000000;0.0001
5;True;-0.031237113402061846;0.4896907216494845;-60.59999999999998;1940.0;194;95;-0.31237113402061845;111.9;-0.10304697300453622;-0.1661865879545595;0.8946557659208263;0.0;23.523252836289462;10.0;7.76;11;0.10980162142292789;0.55;0.0;0.4;10;True;0.25;0.5;1.5;1000000;0.0001
6;True;-0.01395721925133689;0.48128342245989303;-26.099999999999984;1870.0;187;90;-0.1395721925133689;99.30000000000001;-0.039974409452793284;-0.07164485524787458;0.8778583333333334;0.0;26.116708521557612;10.0;7.48;8;0.1190502623732892;0.65;0.02;0.3;10;True;0.25;0.5;1.5;1000000;0.0001
7;True;-0.08306666666666668;0.4;-124.60000000000001;1500.0;150;60;-0.8306666666666668;148.50000000000003;-0.18174191349076935;-0.41824471633751087;0.7914708691499523;0.0;27.423503496088898;10.0;6.0;15;0.06631720284743432;0.65;0.02;0.3;10;False;0.25;0.5;1.5;1000000;0.0001
8;True;-0.17824247710423025;0.35960591133004927;-408.7099999999999;2293.0;203;73;-2.013349753694581;473.42999999999995;-0.39091510097690013;-0.6774500380735332;0.7175466482377332;0.0;41.82084539365506;11.295566502463053;8.12;11;0.009790402327923543;0.55;0.05;0.3;30;False;0.25;0.5;1.5;1000000;0.0001
9;True;0.14317204301075268;0.478494623655914;266.29999999999995;1860.0;186;89;1.4317204301075266;72.4;0.2779510140701302;0.6358499661005959;1.1951135331516802;0.0019775144062258655;38.32329964916904;10.0;7.44;7;0.24305023991197544;0.65;0.05;0.4;10;False;0.25;0.5;1.5;1000000;0.0001
10;True;0.022930956486392578;0.5104895104895105;34.97590000000001;1525.2700000000002;143;73;0.24458671328671336;169.26069999999999;0.04724822121621302;0.06773690778708506;1.011942528735632;0.00013547714552989904;29.610342230617732;10.666223776223777;5.72;12;0.1466459584363587;0.65;0.02;0.3;20;True;0.25;0.5;1.5;1000000;0.0001
11;True;-0.031744186046511615;0.5;-54.59999999999998;1720.0;172;86;-0.3174418604651162;166.39999999999998;-0.10045716067212959;-0.15622137829911245;0.9051342975206611;0.0;21.740610479009096;10.0;6.88;7;0.11227645738072442;0.6;0.02;0.4;10;False;0.25;0.5;1.5;1000000;0.0001
12;True;-0.10851569506726456;0.4787234042553192;-241.98999999999998;2230.0;188;90;-1.2871808510638296;190.28999999999996;-0.4101963586569573;-0.6464794300418438;0.7747424511545293;0.0;23.597479099259736;11.861702127659575;7.52;10;0.054831690814622344;0.65;0.0;0.4;20;False;0.25;0.5;1.5;1000000;0.0001
